0	-13.3266	0.99248	0.669804
0.015	-38.0261	0.95231	0.639965
0.03	-50.2196	0.374314	0.192398
0.045	-50.2285	0.378031	0.163934
0.06	-49.8095	0.413584	0.247527
0.075	-49.9679	0.331515	0.169178
0.09	-49.9431	0.29773	0.14505
0.105	-50.1462	0.369486	0.171065
0.12	-48.5801	0.582874	0.223573
0.135	-48.1278	0.566812	0.214294
0.15	-49.7251	0.340327	0.181222
0.165	-49.9503	0.308351	0.125955
0.18	-49.6149	0.362141	0.185886
0.195	-49.5561	0.377785	0.18061
0.21	-49.8238	0.374799	0.180469
0.225	-49.9427	0.392371	0.125643
0.24	-49.0747	0.501242	0.166027
0.255	-47.7793	0.610891	0.21279
0.27	-46.1411	0.736221	0.233138
0.285	-43.6473	0.854518	0.295624
0.3	-43.8092	0.844804	0.279519
0.315	-44.4855	0.770098	0.164107
0.33	-30.3897	0.803371	0.2381
0.345	-29.8417	0.80556	0.192989
0.36	-30.7316	0.793952	0.185067
0.375	-27.884	0.796879	0.417818
0.39	-27.5091	0.714949	0.303139
0.405	-26.4955	0.705636	0.239715
0.42	-24.3877	0.753343	0.389457
0.435	-24.7502	0.735762	0.35938
0.45	-26.4895	0.71299	0.231278
0.465	-26.8506	0.727728	0.251803
0.48	-28.606	0.73211	0.385208
0.495	-30.97	0.741178	0.337364
0.51	-32.7895	0.766566	0.344373
0.525	-36.2096	0.814973	0.212158
0.54	-40.6518	0.90672	0.135645
0.555	-43.6733	0.81094	0.182789
0.57	-36.8797	0.939797	0.153894
0.585	-34.1461	0.816198	0.173573
0.6	-31.7473	0.568994	0.125821
0.615	-11.7717	0.976351	0.520467
0.63	-7.742	0.98167	0.591904
0.645	-7.84341	0.979948	0.695518
0.66	-11.0322	0.74877	0.614067
0.675	-13.0226	-0.325396	0.134059
0.69	-11.1338	-0.531966	0.121839
0.705	-10.9641	-0.591495	0.111914
0.72	-10.7474	-0.641385	0.146794
0.735	-10.8349	-0.668543	0.230642
0.75	-12.029	-0.623	0.175379
0.765	-11.7095	-0.649374	0.152448
0.779999	-11.1341	-0.540858	0.141801
0.794999	-11.8114	-0.180957	0.128703
0.809999	-4.55171	0.897281	0.502816
0.824999	3.62003	0.968741	0.7686
0.839999	8.44454	0.965005	0.872305
0.854999	9.7479	0.954697	0.860312
0.869999	10.1422	0.96164	0.878317
0.884999	9.70958	0.959758	0.851152
0.899999	7.58546	0.945264	0.860913
0.914999	5.99877	0.948057	0.881193
0.929999	4.9785	0.963353	0.882238
